;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Billie Whitelaw;[u'Start the Revolution without me', u'Leo the Last', u'Maurice', u'The Krays', u'TZ:Make Mine Mink', u'The Omen', u'Slayground']
Michelle Bauer;[u'Vampire Vixens from Venus']
Malcom McDowall;[u'Royal Flash']
Leo Lissek;[u'Forgotten Prisoners']
Gustav vonWangenheim;[u'Romeo und Julia im Schnee', u"Kohliesel's T\xf6chter", u'Nosferatu']
Miroslav Donutil;[u'The Inheritance']
Mary Lou Retton;[u'The Naked Gun 2 1/2: The Smell of Fear']
Frank Stanmore;[u'The Blackguard']
Michael Sarrazin;[u'TZ:Gumball Rally', u'TZ:The Seduction', u'Scaramouche', u'A Man Named Gannon', u'TZ:Fighting Back', u"TZ:For Pete's Sake", u"They Shoot Horses, Don't They?"]
Sandrine Bonnaire;[u'Vagabond', u'La Ceremonie', u'A Nos Amours', u'Under the Sun of Satan', u'Monsieur Hire', u'Voleur du Vie']
Honi Coles;[u"Tapdancin'"]
Berhard Wicki;[u'Despair']
Nigel Stock;[u'Victim', u'The Great Escape', u'The Nelson Affair', u'The Night My Number Came Up', u'The Lost Continent']
Rex Harrison;[u'The Night Train to Munich', u'Blithe Spirit', u'Midnight Lace', u'My Fair Lady', u'Major Barbara', u'Anna and the King of Siam', u'The Ghost and Mrs.  Muir', u'Escape', u'Cleopatra', u'Fifth Musketeer', u'Unfaithfully Yours', u'TZ:Doctor Dolittle', u'Crossed Swords', u"The Rake's Progress", u'The Reluctant Debutante']
Nicole Garcia;[u'Outremer']
Loretta Devine;[u'Waiting to Exhale', u'Caged Fear']
Florence Bates;[u'The Moon and Sixpence', u'The Tuttles of Tahiti', u'They Got Me Covered', u'On the Town', u'I Remember Mama', u'Rebecca', u'A Letter to Three Wives', u'The Mark of Dimitrios', u'The Diary of a Chambermaid', u'The Second Woman', u'Calling All Husbands', u'The Chocolate Soldier', u'The San Francisco Story', u'The Son of Monte Christo', u'Kitty Foyle', u'Saratoga Trunk']
Reginald Gardner;[u'Wabash Avenue']
Frances Dee;[u'Wells Fargo', u'If I were King', u'Little Women', u'The Silver Cord', u'Of Human Bondage', u'Happy Land', u'Becky Sharp', u'An American Tragedy']
Jeff KOber;[u'Out of Bounds']
George McReady;[u'Rogues of Sherwood Forest', u'Vicious Circle', u'Detective Story']
Eric Linden;[u'Big City Blues']
Murvyn Vrye;[u'River of No Return']
Louise Carter;[u'The Man I Killed', u'Madame Butterfly', u'Jennie Gerhardt']
Outrage;[u'Edward II']
Elton John;[u'Tommy']
Ed Gargan;[u'Bedtime for Bonzo', u'Hands Across the Table']
Ed Koch;[u'First Wives Club']
Richard Briars;[u'Henry V']
Renate Steiger;[u'Merret Oppenheim']
Helen Hayes;[u'Anastasia', u'The Scoundrel', u'Crime Without Passion', u'A Farewell to Arms', u'Airport', u'Herbie Rides Again', u'Vanessa, her Love Story']
Pierre Renoir;[u'Les Enfants du Paradis']
Baird Wallace;[u'Tea with Mussolini']
Andrew Prine;[u'Bandolero!', u'Grizzly']
Meg Kasdan;[u'The Accidental Tourist']
Georgy Ganz;[u'Meteor']
Michael Pate;[u'Hondo', u'Julius Ceasar', u'The Court Jester', u'Tower of London', u'The McGregor Affair', u'Thou Still Unravished Bride']
Joan Greenwood;[u'Little Dorrit', u'The Hound of the Baskervilles', u'Kind Hearts and Coronets', u'Father Brown', u'The October Man', u'Whiskey Galore', u'The Man in The White Suit', u'Tom Jones']
Tom Reilly;[u'TZ:Young Warriors']
Charlotte Gainsborough;[u'Jane Eyre']
Ombretta Colli;[u'The Snow Devils']
Trididad Silva;[u'TZ:Crackers']
Giovanna Montanelli;[u'General della Rovere']
Florenz Ziegfeld;[u'Show Boat']
Tom Keene;[u'Beyond the Rockies', u'Our Daily Bread']
Morland Graham;[u'Jamaica Inn', u'The Ghost Train']
John Kassir;[u'Bordello of Blood']
Joy Behar;[u'Wisecracks', u'This is my Life', u'Manhattan Murder Mystery']
Ben Gazarra;[u'The Killing of a Chinese Bookie']
Red Skelton;[u"Neptune's Daughter", u'Those Magnificent Men in Their Flying Machines', u'Around the World in 80 Days', u'Lovely To Look At', u'Maisie Gets Her Man', u'Three Little Words', u'The Duchess of Idaho', u'Ziegfeld Follies']
Jan Decleir;[u'Beck', u':Karakter']
Kathleen ORegan;[u'Juno And The Paycock']
Lon Poff;[u'Mantrap']
Sue Lyon;[u'The Night of the Iguana', u'TZ:Evel Knievel', u'Lolita']
Joana;[u'Femme Fatale']
Dorothy MacKaill;[u'No Man of her Own']
Edward Herrmann;[u'TZ:North Avenue Irregulars', u'Sweet Poison', u'TZ:A Little Sex', u'Eleanor and Franklin', u'Eleanor and Franklin, The White House Years', u'The Betsy', u'TZ:A Love Affair "The Eleanor and Lou Gehrig Story"', u'The Great Waldo Pepper', u'Overboard', u'Annie', u'Born Yesterday', u'Reds']
Daniel Roebuck;[u"River's Edge"]
Ian MacDonald;[u'Son of Sinbad']
Kirk Alyn;[u'Superman']
Stewart Granger;[u'The Wild Geese', u"King Solomon's Mines", u'Beau Brummel', u'Bhowani Junction', u'Sacaramouche', u'The Last Safari', u'The Man in Grey', u'The Hound of the Baskervilles', u'Sodom and Gomorrah', u'The Prisoner of Zenda', u'So This is London', u'Requiem for a Secret Agent']
Suzanne Flon;[u'The Train', u'The Trial']
Charles Laughton;[u'The Private Life of Henry VIII', u'Witness for the Prosecution', u'The Sign of the Cross', u'The Tuttles of Tahiti', u"Hobson's Choice", u'Under Ten Flags', u'Island of Lost Souls', u'Vessel of Wrath', u'Mutiny on the Bounty', u'They Knew What They Wanted', u'Jamaica Inn', u'The Paradine Case', u'It Started with Eve', u'The Big Clock', u'Day Dreams', u'This Land is Mine', u'Tales of Manhattan', u'The Old Dark House', u'Arch of Triumph', u'Ruggles of Red Gap', u'Payment Deferred', u'Les Mis\xe9rables', u'Spartacus', u'White Woman', u'The Hunchback of Notre Dame']
Lisa Chappell;[u'Desperate Remedies']
Tawny Kitaen;[u'The Perils of Gwendoline in the Land of the Yik Yak', u'TZ:Bachelor Party']
Fred Ward;[u'Off Limits', u'Miami Blues', u'Swing Shift', u'When Twins are Interchanged', u'Thunderheart', u'Silkwood', u'The Right Stuff', u'Henry and June', u'Naked Gun 33 1/3: The Final Insult', u'The Player', u'TZ:Uncommon Valor', u'Southern Comfort', u'TZ:Timerider "The Adventure of Lyle Swann"']
Charlotte Alexandra;[u'Immoral Tales']
Bel Lyon;[u'Her Majesty Love']
Tom Poston;[u'Tempest', u'The Happy Hooker']
Randall Batinkoff;[u'Buffy the Vampire Slayer', u'The Player']
Richard Travis;[u'Missile to the Moon', u'The Man Who Came to Dinner']
Henry Conniff jr.;[u'Hope Floats']
Sean Michaels;[u'Sex Symphony']
Emily Watson;[u'Hilary and Jackie', u'Map of Love', u'The Boxer', u'Breaking the Waves', u'Metroland']
KarlHeinz Boehm;[u'Effi Briest']
Max Laurens;[u'Die Augen der Mumie Ma']
Jessie Matthews;[u'Waltzes From Vienna', u'Friday the Thirteenth']
Nick Apollo Forte;[u'Broadway Danny Rose']
Howard Freeman;[u'Once Upon A Time', u'Double Dynamite', u'Million Dollar Mermaid']
Georges Peclet;[u'La Grande Illusion']
Julanna Johnston;[u'The Thief of Bagdad']
Ray Teal;[u'The Big Carnival', u'Revenge', u'The Wild One', u'Road Hog', u'Carrie']
J.M. Kerrigan;[u'Luck of the Irish']
Warren Berlin;[u'Hero']
Danielle Darrieux;[u'Mayerling', u'Scene of the Crime', u"Occupe-Toi d'Amelie", u'Le Rouge et Le Noir', u"Lady Chatterley's Lover", u'La Ronde', u'Madame de']
Scott Baio;[u'I Love New York', u'Bugsy Malone', u'Zapped']
Leigh Madison;[u'The Giant Behemoth']
Suasanna Foster;[u'The Great Victor Herbert']
Eddie Anderson;[u'What Price Hollywood']
Malcom McDowell;[u'Bohpa!']
Tom Powers;[u'Double Indemnity', u'Scared Stiff', u"The Farmer's Daughter", u"They Won't Believe Me"]
Lilie Tomlin;[u'The Player']
Trini Lopez;[u'Dirty Dozen']
Luther Adler;[u'The Loves of Carmen', u'The Desert Fox', u'House of Strangers', u'TZ:M', u'The Brotherhood', u'The Girl in the Red Velvet Swing', u'Absence of Malice']
Dee Croxton;[u'Say Yes']
Barry Harvey;[u'A Dip In The Pool']
Sarah Bennett;[u'The Long Way Home']
Anne Ramsey;[u'Deadly Friend']
Robert Urquhart;[u'Foxhole in Cairo', u'The Curse of Frankenstein']
Tonio Selwart;[u'The Barefoot Contessa']
Russel Horton;[u'Annie Hall']
Lionel Barrymore;[u'The Gorgeous Hussy', u'Hollywood Revue', u'The Little Colonel', u'America', u'Grand Hotel', u'The Man I Killed', u"You Can't Take It With You", u"It's a Wonderful Life", u'A Family Affair', u'Dinner at Eight', u'David Copperfield', u'Camille', u'Mata Hari', u'Twentieth Century', u'Since You Went Away', u'Key Largo', u'Public Hero Number One', u'Duel in the Sun', u'The Unholy Night', u'TZ:Mysterious Island', u'The Temptress', u'The Yellow Ticket', u'Rasputin and the Empress', u'The Mark of the Vampire', u'Treasure Island', u'Captains Courageous', u'A Guy Named Joe', u'Marie Antoinette']
Russel Crowe;[u'L.A. Confidential']
Woody Harrelson;[u'Wag the Dog', u'The Cowboy Way', u'Doc Hollywood', u'The People vs. Larry Flynt', u'Kingpin', u'EDtv', u"White Men Can't Jump", u'The Thin Red Line', u'Palmetto', u'Money Train']
Bill LaValee;[u'Rain Killer']
MacLean Stevenson;[u'TZ:Cat from Outer Space']
David Manners;[u'From Hell to Heaven', u'The Black Cat', u'The Death Kiss', u'The Miracle Woman', u'Roman Scandals', u'A Bill of Divorcement', u'The Mummy', u'A Woman Rebels', u'Dracula', u'The Last Flight']
Michael Chiklis;[u'Rain Killer']
Rafaela Ottinao;[u'Curly Top']
Harold Lloyd jr.;[u'Sex Kittens go to College', u"Frankenstein's Daughter"]
Mimi Rogers;[u'Monkey Trouble', u'Street Smarts', u'TZ:Blue Skies Again', u'Desperate Hours', u'Far From Home: The Adventures of Yellow Dog', u'Someone To Watch Over Me', u'Deadlock']
Lena Horne;[u'Stormy Weather', u'Death of a Gunfighter', u'Till the Clouds Roll By', u'The Duchess of Idaho', u'Cabin in the Sky', u'Ziegfeld Follies']
Jean Arthur;[u'Diamond Jim', u'A Foreign Affair', u'The Plainsman', u'Paramount on Parade', u'Mr.Deeds Goes to Town', u"You Can't Take It With You", u'Mr. Smith goes to Washington', u'Mr. Deeds Goes to Town', u'Talk of the Town', u'The More the Merrier', u'Shane', u'Only Angels Have Wings', u'Street of Chance', u"The Whole Town's Talking", u'Public Hero Number One', u'Easy Living', u'The Ex-Mrs. Bradford', u'The Devil and Miss Jones', u'If Only You Could Cook', u'Too Many Husbands']
Dexter Fletcher;[u'Raggedy Rawney']
Joel McCray;[u'The Richest Girl in The World']
Anne Carslile;[u'Desperately Seeking Susan']
Lisa Ann Walters;[u'The Parent Trap']
Setsuko Hara;[u'Tokyo Monogatari']
Rusty Cundieff;[u'Sprung']
Paul Butterfield;[u'The Last Waltz']
E.G. Marshall;[u'The Journey', u'Absolute Power', u'The Bachelor Party', u'The Caine Mutiny', u'The Left Hand of God', u'The Mountain', u'Vampire', u'Creepshow', u"Four O'Clock", u'Superman II', u'Compulsion', u'Tora! Tora! Tora!', u'Twelve Angry Men', u'Interiors']
Akira Terao;[u'Akira Kurosawa Dreams']
Lou Gilbert;[u'The Great White Hope']
Edgar Norton;[u'Top Hat', u'Dr. Jekyll and Mr. Hyde', u'Love Me Tonight', u'The Son of Frankenstein', u'The Richest Girl in The World']
Pat Aherne;[u'The Paradine Case']
George K. Arthur;[u'Hollywood Revue']
Michael Gambon;[u'Toys', u'Follow the Yellow Brick Road', u'The Singing Detective', u'The Browning Version', u'Clean Slate', u'Mobsters', u'The Cook, the Thief, His Wife and Her Lover', u'Dancing at Lughnasa', u'A Man of no Importance']
Neda Arneric;[u'Shaft in Africa']
Ken Tobey;[u'Billy Jack']
Dennis Day;[u'Golden Girl']
Noah Taylor;[u'The Year my Voice Broke', u'Flirting', u'Shine']
Josef Somner;[u'Still of the Night']
David Straithearn;[u'L.A. Confidential', u'Matewan', u'Memphis Belle']
Anthony Steel;[u'The Mudlark']
Lionel Braham;[u'A Christmas Carol']
Ava Gardner;[u'Pandora and the Flying Dutchman', u'Bhowani Junction', u'The Blue Bird', u'The Kidnapping of the President', u'The Cassandra Crossing', u'Showboat', u'The Snows of Kilimandjaro', u'The Sun also Rises', u'The Naked Maja', u'Mogambo', u'Seven Days in May', u'The Night of the Iguana', u'TZ:The Bible', u'The Life and Times of Judge Roy Bean', u'The Barefoot Contessa', u'Sentinel', u'East Side West Side', u'Earthquake', u'55 Days at Peking', u'The Killers', u'Knights of the Round Table', u'On the Beach']
Tania Mallett;[u'Goldfinger']
Sandra Lynn;[u'On Her Bed of Roses']
Robe Lowe;[u'The Hotel New Hampshire']
Hanna Scygulla;[u'The Merchant of Four Seasons']
Mabel Paige;[u'Johnny Belinda']
Cheryl Carter;[u'Night Shift']
Michael Carter;[u'A Christmas Carol']
Jeanne Tripplehorn;[u"'Til There Was You", u'The Firm']
Douglass Montgomery;[u'The Cat and the Canary', u'Little Women', u'Woman to Woman']
Beccky Lee Meza;[u'Selena']
Armida;[u'Jungle Goddess']
Bruce Yarnell;[u'Irma la Douce']
Montague Sidney;[u'From the Manger to the Cross']
Demi Moore;[u'Indecent Proposal', u'Striptease', u'Disclosure', u'The Juror', u'TZ:No Small Affair', u'Ghost', u'Summer Souvenier', u"We're No Angels", u'A Few Good Men', u'G.I. Jane', u'Blame it on Rio', u"The Butcher's Wife"]
Johnny Silver;[u'The Derelicts']
Varvara Massalitinova;[u'The Childhood of Maxim Gorki']
Carol Channing;[u"Hans Christian Andersen's Thumbelina", u'Thoroughly Modern Millie', u'The Birdcage']
Sailen Mukherjee;[u'Charulata']
Ed McMahon;[u'Dementia', u'TZ:Fun with Dick and Jane']
Anna Maria Alberghetti;[u'Cinderfella']
Lothaire Bluteau;[u'Black Robe', u'Jesus of Montreal', u'Orlando']
Shiloh Strong;[u'House of Cards']
George Winslow;[u'Gentlemen Prefer Blondes', u'Room for one More']
Everley Gregg;[u'Pygmalion']
Joan Vohs;[u'Sabrina']
Alvy Moore;[u'TZ:Smokey and the Hotwire Gang', u'TZ:A Boy and His Dog']
Stephen Mendel;[u'Final Round']
Peggy Lipton;[u'Twin Peaks']
Jack Hedley;[u'Goodbye Mr. Chips', u'Of Human Bondage']
Ben Lang;[u'The Plot Against Harry']
Lise Hilboldt;[u'Sweet Liberty']
Dennis Weaver;[u'Insomnia', u'A Touch of Evil', u'TZ:Duel']
George Pastell;[u'The Mummy']
David Collins;[u'Mr. Death']
Eloise Hardt;[u"Mr. Blanchhard's Secret"]
Lesley-Ann Down;[u'The Return of the Pink Panther', u'The Pink Panther Strikes Again']
Peter Androair;[u'Sweet Emma, Dear Bobe']
Brendan Gleesom;[u'Into the West']
Valerie Cogan;[u'Dangerous Liasons']
Greg Kinneaer;[u"You've Got Mail"]
Lawrence Harvey;[u'Butterfield Eight', u'Of Human Bondage']
Lacey Chabert;[u'Lost in Space']
David Nelson;[u'Cry-Baby', u'The Big Show', u'-30-', u'Peyton Place']
Lilian Harvey;[u'La majeste demande', u'Drei von der Tankstelle']
Brenda Fricker;[u'Home Alone 2: Lost in New York', u'My Left Foot', u'Moll Flanders', u'A Man of no Importance', u'So I Married an Axe Murderer']
Delores Taylor;[u'Billy Jack']
Maria Mauban;[u'A Trip To Italy']
Caroline Gilmer;[u'Fighting Back']
Kenneth Colley;[u'War and Remembrance']
Noah Berry jr;[u'The seven faces of Dr.Loa']
Mary Martin;[u'The Great Victor Herbert', u'Night and Day', u'Rhythm on the River']
Frank Jenks;[u"You're a Sweetheart", u'His Girl Friday', u'Maisie Gets Her Man', u'Back Street']
Maurice Costello;[u'None so Blind', u'Hollywood Boulevard', u'Roulette']
Xander Berkeley;[u'Short Time']
Viveca Lindfors;[u'TZ:Welcome to L.A.', u'Night unto Night', u'I Accuse!', u'Puzzle of a Downfall Child', u'King of Kings', u'The Adventures of Don Juan', u'Dark City']
Paolo Hendel;[u"It's Happening Tomorrow"]
Susan Hubble;[u'TZ:Final Escape']
Kenny Rogers;[u'Six Pack']
Nicola Duffet;[u"Howard's End"]
Antonelli Attile;[u'Cinema Paradiso']
Rolla France;[u'A Nous la Libert\xe9']
Jack Pickford;[u'The Bat']
Elizabeth Bracco;[u'Mystery Train', u'The Impostors']
The Time;[u'Graffiti Bridge']
Duane Martin;[u'The Inkwell']
Charles Cioffi;[u'Klute', u'Missing', u'Gray Lady Down', u'Time After Time']
Pierre Prévert;[u"L'\xe2ge d'Or"]
Evelyn Kunneke;[u'Auf Wiedersehen Francisca']
Marisa Mell;[u'TZ:Mad Dog', u'Feuer, Eis, und Dynamit']
Grace Cunard;[u"Custer's Last Fight"]
Yvonne Rainer;[u'Underground and Emigrants', u'Madame X']
Dominic Raacke;[u'Zeit der Rache']
Melora Walters;[u'20 Bucks']
Hazelle Goodman;[u'Deconstructing Harry']
Scott Mckay;[u'Guest in the House']
Dorothy Dandridge;[u"Tarzan's Peril", u'Carmen Jones', u'Island in the Sun', u'A Day at the Races']
Aldo Parodi;[u'Caluga o Menta']
Ewan Hooper;[u'Dracula Has Risen from the Grave']
Corin Nemec;[u'The Stand']
Carol Lombard;[u'Made for Each Other', u"We're Not Dressing"]
Tony Randall;[u'Hangover', u'The Adventures of Huckleberry Finn', u'Fatal Instinct', u'Lover Come Back', u'Will Success Spoil Rock Hunter?', u'The Alphabet Murders', u"Let's Make Love", u'The seven faces of Dr.Loa', u'Pillow Talk', u'No Down Payment', u'The King of Comedy', u'Everything You Always Wanted to Know About Sex But Were Afraid To Ask']
Nathalie Nell;[u'Man, Woman and Child']
George Bancroft;[u'Mr.Deeds Goes to Town', u'Stagecoach', u'Green Hell', u'Docks of New York']
Bill Calvert;[u'C.H.U.D. II, Bud the Chud']
Arthur Askey;[u'Back Room Boy', u'The Ghost Train', u"Charley's Bighearted Aunt"]
MaryBeth Hurt;[u'The Age of Innocence']
Dorris Bowdon;[u'Drums Along the Mohawk', u'The Grapes of Wrath']
Eddie Kane;[u'Broadway Melody']
HenriGeorges Clouzot;[u'La Myst\xe8re de Picasso']
Phillippe Noiret;[u'Zazie dans le Metro']
Lotte Stein;[u'The White Tower']
Allison Dean;[u'Coming to America']
Denise Debbaut;[u'Babel Opera']
Ethel Grey Terry;[u'The Mystery of the Yellow Room']
Mel Torme;[u'Girls Town', u'Good News', u'The Naked Gun 2 1/2: The Smell of Fear', u'The Duchess of Idaho', u"Daffy Duck's Quackbusters"]
Maurice Godin;[u'White Room']
Jean Bouise;[u"L'Aveu"]
Anna Neagle;[u'The Chinese Bungalow', u'The Little Demozel', u'Bitter Sweet', u'Victoria the Great', u'Sixty Glorious Years', u'Nurse Edith Cavell', u'Sunny', u'No No Nanette', u'Irene', u'Picadilly Incident', u'Lilacs in the Spring', u"The Man Who Wouldn't Talk"]
Edit Evans;[u'Tom Jones']
Barry Humphries;[u'Barry McKenzie On His Own']
Freda Fon Shen;[u'Funny About Love']
James Donlan;[u'Back Street']
Constance Lupino;[u'A Woman Rebels']
James Gleson;[u'Blondie of the Follies']
Leib Lensky;[u'Hester Street']
Nora Lane;[u'Marquis Preferred']
Bruce Lester;[u'If I were King', u'Pride and Prejudice', u'The Letter']
Alan S. Craig;[u'Bagdad Cafe']
Sybil Thorndike;[u'Gone to Earth', u'Tudor Rose']
Craig Healy;[u'Red Rock West']
Samuel Froler;[u'The Best Intentions']
Patty Hearst;[u'Cry-Baby', u'Serial Mom']
Martha Vickers;[u'The Big Sleep', u'The Man I Love']
Armando Araiza;[u'Johnny Cien Pesos']
Charles Bickett;[u'The Woman on the Beach']
Frank Converse;[u'Everybody Wins', u'TZ:Bushido Blade']
Rosalind Russel;[u'Auntie Mame']
Howard MarionCrwaford;[u'The Face of Fu Manchu', u'The Brides of Fu Manchu', u'The Vengeance of Fu Manchu']
Kuninori Kodo;[u'Shichinin no Samurai']
Nichalos Cage;[u'Honeymoon in Vegas']
Jeff Bridges;[u'Stay Hungry', u'The Mirror Has Two Faces', u'Tucker, the Man and his Dream', u'The Vanishing', u'Hearts of the West', u'King Kong', u'Fat City', u"TZ:Cutter's Way", u'The Big Lebowski', u'TZ:Thunderbolt and Lightfoot', u"Heaven's Gate", u'American Heart', u'The Last Picture Show', u'Fearless', u'Jagged Edge', u'White Squall', u'Blown Away', u'The Fabulous Baker Boys', u'The Morning After', u'TZ:Tron', u'Against All Odds', u'The Fisher King', u'Winter Kills']
Joe Cook;[u'Rain or Shine']
Kenneth Riegel;[u'Don Giovanni']
Tom Hayden;[u'Once Upon A Time in America']
Richard B. Skull;[u'Spring Break']
Conway Tearle;[u'Romeo and Juliet', u'Gold Diggers of Broadway']
Anne Jackson;[u'Funny About Love', u'Nasty Habits']
Ed Platt;[u'The Rebel Set']
John Fraser;[u'El Cid', u"Fury at Smuggler's Bay", u'A Study in Terror', u'Repulsion']
Swoosie Kurtz;[u'Bright Lights, Big City', u'Iris and Stanley', u'Wild Cats', u'Dangerous Liasons', u'Against All Odds']
Tom Everett;[u'River Red']
Haskell Wexler;[u'Visions of Light: The Art of Cinematography']
Annibale Ninchi;[u'Otto e Mezzo']
Jane Farrar;[u'The Phantom of the Opera']
Bengt Ekerod;[u'Ansiktet']
Devin Ratray;[u'Home Alone 2: Lost in New York']
Edwige Feuillere;[u'Le Bl\xe9 en herbe']
Piéral;[u"L'Eternel Retour"]
Omri Katz;[u'Matinee', u'Hocus Pocus']
Enid Thompson;[u'Strauss']
Olive Deering;[u'One of the Family']
Jeffrey Hunter;[u'The Longest Day', u'Julius Ceasar', u'Mantrap', u'Great Locomotive Chase', u'Fourteen Hours', u"Don't Look Behind You", u'The Searchers', u'The Last Hurrah', u'Lure of The Wilderness', u'No Down Payment', u'King of Kings']
Pat Hingle;[u'All The Way Home', u'The Gauntlet', u'TZ:Sudden Impact', u'Splendor in the Grass', u'The Ugly American', u'A Thousand Acres', u'No Down Payment', u'Norma Rae', u'Bloody Mama', u'The Grifters', u'Batman', u"Hang 'Em High", u'One Little Indian']
jake Busey;[u'Home Fries']
George Shevtsov;[u'Dead Calm']
Anton Rogers;[u'Day of the Jackal']
Chris Penn;[u'One Tough Cop', u'Rush Hour', u'Reservoir Dogs']
Jack Webb;[u'Sunset Boulevard', u'The Men', u'Dragnet', u"Pete Kelly's Blues", u'The D.I.', u'The Last Time I Saw Archie', u'Dark City']
Ilka Gruning;[u'Casablanca', u'Desperate Journey']
Patrice Martinez;[u'Beetlejuice']
George F. Marion;[u'Anna Christie', u'The Big House']
Margaret Whiting;[u'Sinbad and the Eye of the Tiger']
Eva Duarte;[u'La Cabalgata del Circo', u'Spendthrift']
Robert Middlemass;[u'Maisie']
